,speciesType,tissueType,UberonOntologyID,cancerType,cellType,cellName,CellOntologyID,cellMarker,geneSymbol,geneID,proteinName,proteinID,markerResource,PMID,Company
1613,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,CD90,THY1,7070,THY1,P04216,Experiment,27633757,
1614,Human,Undefined,,Gastric Cancer,Cancer cell,Cancer stem cell,,CD90,THY1,7070,THY1,P04216,Experiment,27633757,
1615,Human,Undefined,,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD90,THY1,7070,THY1,P04216,Experiment,27633757,
1616,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,Doublecortin-like kinase 1,DCLK1,9201,DCLK1,O15075,Experiment,27694285,
1617,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,"AFP, ANPEP, CD44, CD90, GPC3","AFP, ANPEP, CD44, THY1, GPC3","174, 290, 960, 7070, 2719","FETA, AMPN, CD44, THY1, GPC3","P02771, P15144, P16070, P04216, P51654",Experiment,27650540,
1618,Human,Liver,UBERON_0002107,Colorectal Cancer,Cancer cell,Cancer stem cell,,"CD133, CD44","PROM1, CD44","8842, 960","PROM1, CD44","O43490, P16070",Experiment,27638531,
1619,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,KLF8,KLF8,11279,KLF8,O95600,Experiment,27478926,
1620,Human,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Cancer stem cell,,"CD13, CD44, CD44v9, EpCAM","ANPEP, CD44, CD44, EPCAM","290, 960, 960, 4072","AMPN, CD44, CD44, EPCAM","P15144, P16070, P16070, P16422",Experiment,27473646,
1621,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,26758620,
1622,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,CD90,THY1,7070,THY1,P04216,Experiment,26556861,
1623,Human,Undefined,,Colorectal Cancer,Cancer cell,Cancer stem cell,,"CD133, CD44, LGR5, SOX2","PROM1, CD44, LGR5, SOX2","8842, 960, 8549, 6657","PROM1, CD44, LGR5, SOX2","O43490, P16070, O75473, P48431",Experiment,26261008,
1624,Human,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Cancer stem cell,,"CD133, CD44, CD90, EpCAM","PROM1, CD44, THY1, EPCAM","8842, 960, 7070, 4072","PROM1, CD44, THY1, EPCAM","O43490, P16070, P04216, P16422",Experiment,26252310,
1625,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,26154152,
1626,Human,Liver,UBERON_0002107,Colorectal Cancer,Cancer cell,Cancer stem cell,,"Beta-catenin, CD133, CD44","CTNNB1, PROM1, CD44","1499, 8842, 960","CTNB1, PROM1, CD44","P35222, O43490, P16070",Experiment,26068177,
1627,Human,Colon,UBERON_0001155,Colon Cancer,Cancer cell,Cancer stem cell,,DCLK1,DCLK1,9201,DCLK1,O15075,Experiment,25948779,
1628,Human,Pancreas,UBERON_0001264,Pancreatic Cancer,Cancer cell,Cancer stem cell,,DCLK1,DCLK1,9201,DCLK1,O15075,Experiment,25948779,
1629,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,"OCT4A, SOX2","POU5F1, SOX2","5460, 6657","PO5F1, SOX2","Q01860, P48431",Experiment,25487874,
1630,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,25301737,
1631,Human,Liver,UBERON_0002107,Hepatoblastoma,Cancer cell,Cancer stem cell,,"CD133, CD44, CD90","PROM1, CD44, THY1","8842, 960, 7070","PROM1, CD44, THY1","O43490, P16070, P04216",Experiment,25168019,
1632,Human,Liver,UBERON_0002107,Colorectal Cancer,Cancer cell,Cancer stem cell,,"CD133, CD44","PROM1, CD44","8842, 960","PROM1, CD44","O43490, P16070",Experiment,24864242,
1633,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,"CD133, CD90, EpCAM","PROM1, THY1, EPCAM","8842, 7070, 4072","PROM1, THY1, EPCAM","O43490, P04216, P16422",Experiment,24616575,
1634,Human,Undefined,,Liver Cancer,Cancer cell,Cancer stem cell,,"Aldehyde dehydrogenase 1, CD133, CD24, CD44","Aldehyde dehydrogenase 1 family, PROM1, CD24, CD44","Aldehyde dehydrogenase 1 family, 8842, 100133941, 960","Aldehyde dehydrogenase 1 family, PROM1, CD24, CD44","Aldehyde dehydrogenase 1 family, O43490, P25063, P16070",Experiment,23769634,
1635,Human,Undefined,,Liver Cancer,Cancer cell,Cancer stem cell,,USP22,USP22,23326,UBP22,Q9UPT9,Experiment,23217440,
1636,Human,Liver,UBERON_0002107,Cholangiolocellular Carcinoma,Cancer cell,Cancer stem cell,,"CD133, CD44, EpCAM","PROM1, CD44, EPCAM","8842, 960, 4072","PROM1, CD44, EPCAM","O43490, P16070, P16422",Experiment,23192764,
1637,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,22999864,
1638,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,22079466,
1639,Human,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,21959795,
1640,Human,Liver,UBERON_0002107,Cholangiocarcinoma,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,21798073,
1641,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,CD13,ANPEP,290,AMPN,P15144,Experiment,21480341,
1642,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,"CD133, EpCAM","PROM1, EPCAM","8842, 4072","PROM1, EPCAM","O43490, P16422",Experiment,20682318,
1643,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,"ALDH, CD133, CD44, CD90","ALDH family, PROM1, CD44, THY1","ALDH family, 8842, 960, 7070","ALDH family, PROM1, CD44, THY1","ALDH family, O43490, P16070, P04216",Experiment,20511115,
1644,Human,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Cancer stem cell,,"CD133, CD90","PROM1, THY1","8842, 7070","PROM1, THY1","O43490, P04216",Experiment,20361077,
1645,Human,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,20196115,
1646,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,"CD133, CD90, EpCAM, OV6","PROM1, THY1, EPCAM, NA","8842, 7070, 4072, NA","PROM1, THY1, EPCAM, NA","O43490, P04216, P16422, NA",Experiment,19728923,
1647,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,19724856,
1648,Human,Brain,UBERON_0000955,Normal,Normal cell,Astrocyte,CL_0000127,GFAP,GFAP,2670,GFAP,P14136,Experiment,27314618,
1649,Human,Brain,UBERON_0000955,Normal,Normal cell,Astrocyte,CL_0000127,SOX9,SOX9,6662,SOX9,P48436,Experiment,28336567,
1650,Human,Brain,UBERON_0000955,Normal,Normal cell,Astrocyte,CL_0000127,"ALDH1L1, GFAP, NFIA, S100-B","ALDH1L1, GFAP, NFIA, S100B","10840, 2670, 4774, 6285","AL1L1, GFAP, NFIA, S100B","O75891, P14136, Q12857, P04271",Experiment,26295203,
1651,Human,Brain,UBERON_0000955,Normal,Normal cell,Astrocyte,CL_0000127,GFAP,GFAP,2670,GFAP,P14136,Experiment,12417106,
1652,Human,Brain,UBERON_0000955,Glioma,Cancer cell,Cancer cell,CL_0001064,IFAP,MBTPS2,51360,MBTP2,O43462,Experiment,8378327,
1653,Human,Brain,UBERON_0000955,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,NG2,CSPG4,1464,CSPG4,Q6UVK1,Experiment,18281150,
1654,Human,Brain,UBERON_0000955,Brain Cancer,Cancer cell,Cancer cell,CL_0001064,CD44,CD44,960,CD44,P16070,Experiment,29030990,
1655,Human,Brain,UBERON_0000955,Brain Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,20569000,
1656,Human,Brain,UBERON_0000955,Glioma,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,25184684,
1657,Human,Brain,UBERON_0000955,Glioblastoma,Cancer cell,Cancer stem cell,,"CD133, NANOG, SOX2","PROM1, NANOG, SOX2","8842, 79923, 6657","PROM1, NANOG, SOX2","O43490, Q9H9S0, P48431",Experiment,27468969,
1658,Human,Brain,UBERON_0000955,Brain Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,19816962,
1659,Human,Brain,UBERON_0000955,Glioblastoma,Cancer cell,Cancer stem cell,,"CD133, Nestin","PROM1, NES","8842, 10763","PROM1, NEST","O43490, P48681",Experiment,24732116,
1660,Human,Undefined,,Glioma,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,19724856,
1661,Human,Brain,UBERON_0000955,Glioblastoma,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,27306825,
1662,Human,Brain,UBERON_0000955,Glioma,Cancer cell,Cancer stem cell,,HOXD9,HOXD9,3235,HXD9,P28356,Experiment,21600039,
1663,Human,Brain,UBERON_0000955,Brain Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,14522905,
1664,Human,Brain,UBERON_0000955,Brain Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,15378086,
1665,Human,Brain,UBERON_0000955,Glioblastoma,Cancer cell,Cancer stem cell,,"CD90, GD2","THY1, NA","7070, NA","THY1, NA","P04216, NA",Experiment,25806121,
1666,Human,Brain,UBERON_0000955,Brain Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,19369008,
1667,Human,Brain,UBERON_0000955,Normal,Normal cell,T cell,CL_0000084,CD3,"[CD3D, CD3E, CD3G]","[915, 916, 917]","[CD3D, CD3E, CD3G]","[P04234, P07766, P09693]",Experiment,29618649,
1668,Human,Brain,UBERON_0000955,Intracranial Aneurysm,Cancer cell,T helper1 (Th1) cell,CL_0000545,"CCR6, CXCR3","CCR6, CXCR3","1235, 2833","CCR6, CXCR3","P51684, P49682",Experiment,26667180,
1669,Human,Brain,UBERON_0000955,Intracranial Aneurysm,Cancer cell,T helper2 (Th2) cell,CL_0000546,"CCR6, CXCR3","CCR6, CXCR3","1235, 2833","CCR6, CXCR3","P51684, P49682",Experiment,26667180,
1670,Human,Brain,UBERON_0000955,Intracranial Aneurysm,Cancer cell,T helper17 (Th17) cell,CL_0000899,"CCR6, CXCR3","CCR6, CXCR3","1235, 2833","CCR6, CXCR3","P51684, P49682",Experiment,26667180,
1671,Human,Brain,UBERON_0000955,Intracranial Aneurysm,Cancer cell,Regulatory T (Treg) cell,CL_0000815,"CD25, CD4","IL2RA, CD4","3559, 920","IL2RA, CD4","P01589, P01730",Experiment,26667180,
1672,Human,Brain,UBERON_0000955,Lymphoma,Cancer cell,T cell,CL_0000084,CD45RO,PTPRC,5788,PTPRC,P08575,Experiment,10533727,
1673,Human,Brain,UBERON_0000955,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CD30,TNFRSF8,943,TNR8,P28908,Experiment,12396479,
1674,Human,Brain,UBERON_0000955,Normal,Normal cell,Glutamatergic neuron,CL_0000679,"VGLUT1, VGLUT2","SLC17A7, SLC17A6","57030, 57084","VGLU1, VGLU2","Q9P2U7, Q9P2U8",Experiment,17651422,
1675,Human,Brain,UBERON_0000955,Normal,Normal cell,Neural progenitor cell,,Nestin,NES,10763,NEST,P48681,Experiment,25843934,
1676,Human,Brain,UBERON_0000955,Normal,Normal cell,Neural stem cell,CL_0000047,Nestin,NES,10763,NEST,P48681,Experiment,25843934,
1677,Human,Brain,UBERON_0000955,Normal,Normal cell,Neural stem cell,CL_0000047,GPR56,ADGRG1,9289,AGRG1,Q9Y653,Experiment,19525879,
1678,Human,Brain,UBERON_0000955,Normal,Normal cell,Neural progenitor cell,,GPR56,ADGRG1,9289,AGRG1,Q9Y653,Experiment,19525879,
1679,Human,Brain,UBERON_0000955,Normal,Normal cell,Neural stem cell,CL_0000047,"DCX, NeuroD, PSA-NCAM, SOX2, TUC4","DCX, NEUROD1, NCAM1, SOX2, DPYSL3","1641, 4760, 4684, 6657, 1809","DCX, NDF1, NCAM1, SOX2, DPYL3","O43602, Q13562, P13591, P48431, Q14195",Experiment,21275797,
1680,Human,Brain,UBERON_0000955,Normal,Normal cell,Neural progenitor cell,,"DCX, NeuroD, PSA-NCAM, SOX2, TUC4","DCX, NEUROD1, NCAM1, SOX2, DPYSL3","1641, 4760, 4684, 6657, 1809","DCX, NDF1, NCAM1, SOX2, DPYL3","O43602, Q13562, P13591, P48431, Q14195",Experiment,21275797,
1681,Human,Brain,UBERON_0000955,Normal,Normal cell,Purkinje cell,CL_0000121,KIAA0864,MPRIP,23164,MPRIP,Q6WCQ1,Experiment,15805417,
1682,Human,Brain,UBERON_0000955,Normal,Normal cell,Pericyte,CL_0000669,NG2,CSPG4,1464,CSPG4,Q6UVK1,Experiment,25360079,
1683,Human,Brain,UBERON_0000955,Normal,Normal cell,Pericyte,CL_0000669,alpha-SMA,ACTA2,59,ACTA,P62736,Experiment,24418464,
1684,Human,Hippocampus,UBERON_0002421,Normal,Normal cell,Neural stem cell,CL_0000047,HMGB2,HMGB2,3148,HMGB2,P26583,Experiment,28771884,
1685,Human,Colon,UBERON_0001155,Colon Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,23161081,
1686,Human,Colon,UBERON_0001155,Colon Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1,8842,PROM1,O43490,Experiment,20023382,
1687,Human,Colon,UBERON_0001155,Colorectal Cancer,Cancer cell,Cancer stem cell,,CD66c,CEACAM6,4680,CEAM6,P40199,Experiment,23027178,
1688,Human,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Cancer stem cell,,CD166,ALCAM,214,CD166,Q13740,Experiment,20826154,
1689,Human,Colon,UBERON_0001155,Colorectal Cancer,Cancer cell,Cancer stem cell,,CD166,ALCAM,214,CD166,Q13740,Experiment,17548814,
1690,Human,Colorectum,UBERON_0012652,Colorectum Cancer,Cancer cell,Cancer stem cell,,LGR5,LGR5,8549,LGR5,O75473,Experiment,22969042,
1691,Human,Colorectum,UBERON_0012652,Colorectum Cancer,Cancer cell,Cancer stem cell,,CD44,CD44,960,CD44,P16070,Experiment,24921913,
1692,Human,Colorectum,UBERON_0012652,Colorectum Cancer,Cancer cell,Cancer stem cell,,ALDH1,ALDH1A1,216,AL1A1,P00352,Experiment,25585687,
1693,Human,Colorectum,UBERON_0012652,Colorectum Cancer,Cancer cell,Cancer stem cell,,"CD134, CD44","TNFRSF4, CD44","7293, 960","TNR4, CD44","P43489, P16070",Experiment,22250106,
1694,Human,Intestine,UBERON_0000160,Normal,Normal cell,Intestinal epithelial stem cell,CL_0000034,PHLDA1,PHLDA1,22822,PHLA1,Q8WV24,Experiment,21558389,
1695,Human,Intestine,UBERON_0000160,Normal,Normal cell,Intestinal stem cell,CL_0000034,DCAMKL-1,DCLK1,9201,DCLK1,O15075,Experiment,19676123,
1696,Human,Gastrointestinal tract,UBERON_0005409,Colorectal Cancer,Cancer cell,Cancer stem cell,,CD166,ALCAM,214,CD166,Q13740,Experiment,20826154,
1697,Human,Intestine,UBERON_0000160,Normal,Normal cell,Paneth cell,CL_0000510,IL-9,IL9,3578,IL9,P15248,Experiment,19342650,
1698,Human,Blood,UBERON_0000178,Normal,Normal cell,Eosinophil,CL_0000771,"CD11b, CD44, CD48, CD54, CD69, CD81, HLA-DR","ITGAM, CD44, CD48, ICAM1, CD69, CD81, HLA-DR family","3684, 960, 962, 3383, 969, 975, HLA-DR family","ITAM, CD44, CD48, ICAM1, CD69, CD81, HLA-DR family","P11215, P16070, P09326, P05362, Q07108, P60033, HLA-DR family",Experiment,26926492,
1699,Human,Lung,UBERON_0002048,Normal,Normal cell,Eosinophil,CL_0000771,ECP,RNASE3,6037,ECP,P12724,Experiment,9510666,
1700,Human,Spleen,UBERON_0002106,Normal,Normal cell,Follicular dendritic cell,CL_0000442,"CD23, CD35","FCER2, CR1","2208, 1378","FCER2, CR1","P06734, P17927",Experiment,17367608,
1701,Human,Spleen,UBERON_0002106,Normal,Normal cell,Dendritic cell,CL_0000451,CD11c,ITGAX,3687,ITAX,P20702,Experiment,15728467,
1702,Human,Spleen,UBERON_0002106,Normal,Normal cell,Dendritic cell,CL_0000451,CD11c,ITGAX,3687,ITAX,P20702,Experiment,15213168,
1703,Human,Spleen,UBERON_0002106,Normal,Normal cell,Follicular dendritic cell,CL_0000442,CD35,CR1,1378,CR1,P17927,Experiment,14720144,
1704,Human,Spleen,UBERON_0002106,Normal,Normal cell,Monocyte,CL_0000576,"CD11b, CD14","ITGAM, CD14","3684, 929","ITAM, CD14","P11215, P08571",Experiment,28429166,
1705,Human,Synovium,UBERON_0007616,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68,968,CD68,P34810,Experiment,21816022,
1706,Human,Synovium,UBERON_0007616,Normal,Normal cell,Macrophage,CL_0000235,CD163,CD163,9332,C163A,Q86VB7,Experiment,12115225,
1707,Human,Synovium,UBERON_0007616,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68,968,CD68,P34810,Experiment,11764208,
1708,Human,Synovium,UBERON_0007616,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68,968,CD68,P34810,Experiment,11465705,
1709,Human,Synovium,UBERON_0007616,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68,968,CD68,P34810,Experiment,11465704,
1710,Human,Synovium,UBERON_0007616,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68,968,CD68,P34810,Experiment,11072592,
1711,Human,Thymus,UBERON_0002370,Normal,Normal cell,T cell,CL_0000084,"CD3, CD4, CD5, CD8, THY1","[CD3D, CD3E, CD3G], CD4, CD5, CD8A, THY1","[915, 916, 917], 920, 921, 925, 7070","[CD3D, CD3E, CD3G], CD4, CD5, CD8A, THY1","[P04234, P07766, P09693], P01730, P06127, P01732, P04216",Experiment,1884396,
1712,Human,Testis,UBERON_0000473,Normal,Normal cell,Sertoli cell,CL_0000216,Clusterin,CLU,1191,CLUS,P10909,Experiment,19164176,
1713,Human,Testis,UBERON_0000473,Normal,Normal cell,Sertoli cell,CL_0000216,"MIS, SOX9","AMH, SOX9","268, 6662","MIS, SOX9","P03971, P48436",Experiment,18033690,
1714,Human,Testis,UBERON_0000473,Normal,Normal cell,Sertoli cell,CL_0000216,Vimentin,VIM,7431,VIME,P08670,Experiment,15995149,
1715,Human,Testis,UBERON_0000473,Normal,Normal cell,Leydig cell,CL_0000178,HSD3B,HSD3B,3283,HSD3B1,P14060,Experiment,25269763,
1716,Human,Testis,UBERON_0000473,Normal,Normal cell,Leydig cell,CL_0000178,HSD3B,HSD3B,3283,HSD3B1,P14060,Experiment,23087174,
1717,Human,Testis,UBERON_0000473,Normal,Normal cell,Stem cell,CL_0000034,"NANOG, OCT4, SOX2","NANOG, POU5F1, SOX2","79923, 5460, 6657","NANOG, PO5F1, SOX2","Q9H9S0, Q01860, P48431",Experiment,25279549,
1718,Human,Testis,UBERON_0000473,Normal,Normal cell,Stem cell,CL_0000034,SALL4,SALL4,57167,SALL4,Q9UJQ4,Experiment,19365862,
1719,Human,Testis,UBERON_0000473,Normal,Normal cell,Stem cell,CL_0000034,Nestin,NES,10763,NEST,P48681,Experiment,15127288,
1720,Human,Thymus,UBERON_0002370,Normal,Normal cell,Dendritic cell,CL_0000451,CD11c,ITGAX,3687,ITAX,P20702,Experiment,15728467,
1721,Human,Thymus,UBERON_0002370,Normal,Normal cell,Dendritic cell,CL_0000451,"CD11c, CD80, CD83","ITGAX, CD80, CD83","3687, 941, 9308","ITAX, CD80, CD83","P20702, P33681, Q01151",Experiment,11929763,
1722,Human,Endometrium,UBERON_0001295,Normal,Normal cell,Cancer stem cell,,"CD133, CD44","PROM1, CD44","8842, 960","PROM1, CD44","O43490, P16070",Experiment,26608413,
1723,Human,Endometrium,UBERON_0001295,Normal,Normal cell,Stem cell,CL_0000034,LGR5,LGR5,8549,LGR5,O75473,Experiment,29648645,
1724,Human,Endometrium,UBERON_0001295,Normal,Normal cell,Stem cell,CL_0000034,"CD105, CD166, CD73, CD90, HLA-ABC","ENG, ALCAM, NT5E, THY1, HLA-ABC family","2022, 214, 4907, 7070, HLA-ABC family","EGLN, CD166, 5NTD, THY1, HLA-ABC family","P17813, Q13740, P21589, P04216, HLA-ABC family",Experiment,28761446,
1725,Human,Endometrium,UBERON_0001295,Normal,Normal cell,Stem cell,CL_0000034,"KIF4, NANOG, OCT4, SOX2","KIF4A, NANOG, POU5F1, SOX2","24137, 79923, 5460, 6657","KIF4A, NANOG, PO5F1, SOX2","O95239, Q9H9S0, Q01860, P48431",Experiment,26568058,
1726,Human,Endometrium,UBERON_0001295,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,"CD105, CD90","ENG, THY1","2022, 7070","EGLN, THY1","P17813, P04216",Experiment,23801620,
1727,Human,Endometrium,UBERON_0001295,Normal,Normal cell,Stem cell,CL_0000034,"CD144, CD31, CD34, Musashi-1, OCT4","CDH5, PECAM1, CD34, MSI1, POU5F1","1003, 5175, 947, 4440, 5460","CADH5, PECA1, CD34, MSI1H, PO5F1","P33151, P16284, P28906, O43347, Q01860",Experiment,21623195,
1728,Human,Endometrium,UBERON_0001295,Normal,Normal cell,Stem cell,CL_0000034,"CD117, NANOG, OCT4, SSEA-4","KIT, NANOG, POU5F1, NA","3815, 79923, 5460, NA","KIT, NANOG, PO5F1, NA","P10721, Q9H9S0, Q01860, NA",Experiment,21528491,
1729,Human,Blood,UBERON_0000178,Normal,Normal cell,Neutrophil,CL_0000775,CD66b,CEACAM8,1088,CEAM8,P31997,Experiment,19820230,
1730,Human,Blood,UBERON_0000178,Normal,Normal cell,Neutrophil,CL_0000775,NGAL,LCN2,3934,NGAL,P80188,Experiment,19708926,
1731,Human,Blood,UBERON_0000178,Normal,Normal cell,Neutrophil,CL_0000775,CD66b,CEACAM8,1088,CEAM8,P31997,Experiment,15754803,
1732,Human,Blood,UBERON_0000178,Normal,Normal cell,Neutrophil,CL_0000775,CD11b,ITGAM,3684,ITAM,P11215,Experiment,7689631,
1733,Human,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,F4/80,ADGRE1,2015,AGRE1,Q14246,Experiment,28843510,
1734,Human,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68,968,CD68,P34810,Experiment,28732135,
1735,Human,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68,968,CD68,P34810,Experiment,28323124,
1736,Human,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68,968,CD68,P34810,Experiment,27393389,
1737,Human,Serum,UBERON_0001977,Cholangiocarcinoma,Cancer cell,Macrophage,CL_0000235,"CD115, CD206, CD68","CSF1R, MRC1, CD68","1436, 4360, 968","CSF1R, MRC1, CD68","P07333, P22897, P34810",Experiment,27593106,
1738,Human,Serum,UBERON_0001977,Normal,Normal cell,M2 macrophage,CL_0000890,CD163,CD163,9332,C163A,Q86VB7,Experiment,26886650,
1739,Human,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD11b,ITGAM,3684,ITAM,P11215,Experiment,26113412,
1740,Human,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68,968,CD68,P34810,Experiment,23237422,
1741,Human,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,"CD11b, CD11c, CD68, CSF1r","ITGAM, ITGAX, CD68, CSF1R","3684, 3687, 968, 1436","ITAM, ITAX, CD68, CSF1R","P11215, P20702, P34810, P07333",Experiment,21227423,
1742,Human,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,F4/80,ADGRE1,2015,AGRE1,Q14246,Experiment,20339115,
1743,Human,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD11b,ITGAM,3684,ITAM,P11215,Experiment,19893003,
1744,Human,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68,968,CD68,P34810,Experiment,18492752,
1745,Human,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68,968,CD68,P34810,Experiment,15188355,
1746,Human,Cartilage,UBERON_0002418,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD146,MCAM,4162,MUC18,P43121,Experiment,27130221,
1747,Human,Cartilage,UBERON_0002418,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,"CD105, CD73","ENG, NT5E","2022, 4907","EGLN, 5NTD","P17813, P21589",Experiment,26883322,
1748,Human,Cartilage,UBERON_0002418,Normal,Normal cell,Stem cell,CL_0000034,"CD105, CD166, CD90, OCT3/4, STRO-1","ENG, ALCAM, THY1, POU5F1, NA","2022, 214, 7070, 5460, NA","EGLN, CD166, THY1, PO5F1, NA","P17813, Q13740, P04216, Q01860, NA",Experiment,24495322,
1749,Human,Cartilage,UBERON_0002418,Normal,Normal cell,Stem cell,CL_0000034,CD146,MCAM,4162,MUC18,P43121,Experiment,23474328,
1750,Human,Cartilage,UBERON_0002418,Normal,Normal cell,Stem cell,CL_0000034,"CD44, CD73, CD9, CD90","CD44, NT5E, CD9, THY1","960, 4907, 928, 7070","CD44, 5NTD, CD9, THY1","P16070, P21589, P21926, P04216",Experiment,22358233,
1751,Human,Cartilage,UBERON_0002418,Normal,Normal cell,Chondrocyte,CL_0000138,"Aggrecan, COL2A1, COMP","ACAN, COL2A1, COMP","176, 1208, 1311","PGCA, CO2A1, COMP","P16112, P02458, P49747",Experiment,24635637,
1752,Human,Cartilage,UBERON_0002418,Normal,Normal cell,Chondrocyte,CL_0000138,"AGC1, COL2A1, SOX9","ACAN, COL2A1, SOX9","176, 1208, 6662","PGCA, CO2A1, SOX9","P16112, P02458, P48436",Experiment,20930322,
1753,Human,Esophagus,UBERON_0001043,Esophageal Adenocarcinoma,Cancer cell,Stem cell,CL_0000034,DCLK1,DCLK1,9201,DCLK1,O15075,Experiment,25283374,
1754,Human,Esophagus,UBERON_0001043,Normal,Normal cell,Stem cell,CL_0000034,LGR5,LGR5,8549,LGR5,O75473,Experiment,24666414,
1755,Human,Gastrointestinal tract,UBERON_0005409,Gallbladder Carcinoma,Cancer cell,Stem cell,CL_0000034,CD133,PROM1,8842,PROM1,O43490,Experiment,26910892,
1756,Human,Gastrointestinal tract,UBERON_0005409,Intestinal Cancer,Cancer cell,Stem cell,CL_0000034,CD166,ALCAM,214,CD166,Q13740,Experiment,20826154,
1757,Human,Gastrointestinal tract,UBERON_0005409,Normal,Normal cell,Stem cell,CL_0000034,BMI1,BMI1,648,BMI1,P35226,Experiment,16874656,
1758,Human,Gonad,UBERON_0000991,Normal,Normal cell,Germ cell,CL_0000586,"OCT4, SYCP3","POU5F1, SYCP3","5460, 50511","PO5F1, SYCP3","Q01860, Q8IZU3",Experiment,15236325,
